fiscal_period_id,account_id,cost_center_id,budget_amount,budget_type
FY2024-01,4010,CC200,352750.0,Revenue
FY2024-01,4020,CC200,148750.0,Revenue
FY2024-01,4030,CC200,78200.0,Revenue
FY2024-01,6010,CC100,180000.0,Expense
FY2024-01,6010,CC200,115000.0,Expense
FY2024-01,6010,CC300,62000.0,Expense
FY2024-01,6010,CC400,43000.0,Expense
FY2024-01,6010,CC500,33000.0,Expense
FY2024-01,6010,CC600,52000.0,Expense
FY2024-01,6010,CC700,48000.0,Expense
FY2024-01,6010,CC800,72000.0,Expense
FY2024-01,6010,CC900,140000.0,Expense
FY2024-01,6060,CC300,44200.0,Expense
FY2024-01,6080,CC100,26000.0,Expense
FY2024-01,6030,CC600,40000.0,Expense
FY2024-02,4010,CC200,352750.0,Revenue
FY2024-02,4020,CC200,148750.0,Revenue
FY2024-02,4030,CC200,78200.0,Revenue
FY2024-02,6010,CC100,180000.0,Expense
FY2024-02,6010,CC200,115000.0,Expense
FY2024-02,6010,CC300,62000.0,Expense
FY2024-02,6010,CC400,43000.0,Expense
FY2024-02,6010,CC500,33000.0,Expense
FY2024-02,6010,CC600,52000.0,Expense
FY2024-02,6010,CC700,48000.0,Expense
FY2024-02,6010,CC800,72000.0,Expense
FY2024-02,6010,CC900,140000.0,Expense
FY2024-02,6060,CC300,44200.0,Expense
FY2024-02,6080,CC100,26000.0,Expense
FY2024-02,6030,CC600,40000.0,Expense
FY2024-03,4010,CC200,352750.0,Revenue
FY2024-03,4020,CC200,148750.0,Revenue
FY2024-03,4030,CC200,78200.0,Revenue
FY2024-03,6010,CC100,180000.0,Expense
FY2024-03,6010,CC200,115000.0,Expense
FY2024-03,6010,CC300,62000.0,Expense
FY2024-03,6010,CC400,43000.0,Expense
FY2024-03,6010,CC500,33000.0,Expense
FY2024-03,6010,CC600,52000.0,Expense
FY2024-03,6010,CC700,48000.0,Expense
FY2024-03,6010,CC800,72000.0,Expense
FY2024-03,6010,CC900,140000.0,Expense
FY2024-03,6060,CC300,44200.0,Expense
FY2024-03,6080,CC100,26000.0,Expense
FY2024-03,6030,CC600,40000.0,Expense
FY2024-04,4010,CC200,394250.0,Revenue
FY2024-04,4020,CC200,166250.0,Revenue
FY2024-04,4030,CC200,87400.0,Revenue
FY2024-04,6010,CC100,180000.0,Expense
FY2024-04,6010,CC200,115000.0,Expense
FY2024-04,6010,CC300,62000.0,Expense
FY2024-04,6010,CC400,43000.0,Expense
FY2024-04,6010,CC500,33000.0,Expense
FY2024-04,6010,CC600,52000.0,Expense
FY2024-04,6010,CC700,48000.0,Expense
FY2024-04,6010,CC800,72000.0,Expense
FY2024-04,6010,CC900,140000.0,Expense
FY2024-04,6060,CC300,49400.0,Expense
FY2024-04,6080,CC100,26000.0,Expense
FY2024-04,6030,CC600,40000.0,Expense
FY2024-05,4010,CC200,394250.0,Revenue
FY2024-05,4020,CC200,166250.0,Revenue
FY2024-05,4030,CC200,87400.0,Revenue
FY2024-05,6010,CC100,180000.0,Expense
FY2024-05,6010,CC200,115000.0,Expense
FY2024-05,6010,CC300,62000.0,Expense
FY2024-05,6010,CC400,43000.0,Expense
FY2024-05,6010,CC500,33000.0,Expense
FY2024-05,6010,CC600,52000.0,Expense
FY2024-05,6010,CC700,48000.0,Expense
FY2024-05,6010,CC800,72000.0,Expense
FY2024-05,6010,CC900,140000.0,Expense
FY2024-05,6060,CC300,49400.0,Expense
FY2024-05,6080,CC100,26000.0,Expense
FY2024-05,6030,CC600,40000.0,Expense
FY2024-06,4010,CC200,394250.0,Revenue
FY2024-06,4020,CC200,166250.0,Revenue
FY2024-06,4030,CC200,87400.0,Revenue
FY2024-06,6010,CC100,180000.0,Expense
FY2024-06,6010,CC200,115000.0,Expense
FY2024-06,6010,CC300,62000.0,Expense
FY2024-06,6010,CC400,43000.0,Expense
FY2024-06,6010,CC500,33000.0,Expense
FY2024-06,6010,CC600,52000.0,Expense
FY2024-06,6010,CC700,48000.0,Expense
FY2024-06,6010,CC800,72000.0,Expense
FY2024-06,6010,CC900,140000.0,Expense
FY2024-06,6060,CC300,49400.0,Expense
FY2024-06,6080,CC100,26000.0,Expense
FY2024-06,6030,CC600,40000.0,Expense
FY2024-07,4010,CC200,435750.0,Revenue
FY2024-07,4020,CC200,183750.0,Revenue
FY2024-07,4030,CC200,96600.0,Revenue
FY2024-07,6010,CC100,180000.0,Expense
FY2024-07,6010,CC200,115000.0,Expense
FY2024-07,6010,CC300,62000.0,Expense
FY2024-07,6010,CC400,43000.0,Expense
FY2024-07,6010,CC500,33000.0,Expense
FY2024-07,6010,CC600,52000.0,Expense
FY2024-07,6010,CC700,48000.0,Expense
FY2024-07,6010,CC800,72000.0,Expense
FY2024-07,6010,CC900,140000.0,Expense
FY2024-07,6060,CC300,54600.0,Expense
FY2024-07,6080,CC100,26000.0,Expense
FY2024-07,6030,CC600,40000.0,Expense
FY2024-08,4010,CC200,435750.0,Revenue
FY2024-08,4020,CC200,183750.0,Revenue
FY2024-08,4030,CC200,96600.0,Revenue
FY2024-08,6010,CC100,180000.0,Expense
FY2024-08,6010,CC200,115000.0,Expense
FY2024-08,6010,CC300,62000.0,Expense
FY2024-08,6010,CC400,43000.0,Expense
FY2024-08,6010,CC500,33000.0,Expense
FY2024-08,6010,CC600,52000.0,Expense
FY2024-08,6010,CC700,48000.0,Expense
FY2024-08,6010,CC800,72000.0,Expense
FY2024-08,6010,CC900,140000.0,Expense
FY2024-08,6060,CC300,54600.0,Expense
FY2024-08,6080,CC100,26000.0,Expense
FY2024-08,6030,CC600,40000.0,Expense
FY2024-09,4010,CC200,435750.0,Revenue
FY2024-09,4020,CC200,183750.0,Revenue
FY2024-09,4030,CC200,96600.0,Revenue
FY2024-09,6010,CC100,180000.0,Expense
FY2024-09,6010,CC200,115000.0,Expense
FY2024-09,6010,CC300,62000.0,Expense
FY2024-09,6010,CC400,43000.0,Expense
FY2024-09,6010,CC500,33000.0,Expense
FY2024-09,6010,CC600,52000.0,Expense
FY2024-09,6010,CC700,48000.0,Expense
FY2024-09,6010,CC800,72000.0,Expense
FY2024-09,6010,CC900,140000.0,Expense
FY2024-09,6060,CC300,54600.0,Expense
FY2024-09,6080,CC100,26000.0,Expense
FY2024-09,6030,CC600,40000.0,Expense
FY2024-10,4010,CC200,477250.0,Revenue
FY2024-10,4020,CC200,201250.0,Revenue
FY2024-10,4030,CC200,105800.0,Revenue
FY2024-10,6010,CC100,180000.0,Expense
FY2024-10,6010,CC200,115000.0,Expense
FY2024-10,6010,CC300,62000.0,Expense
FY2024-10,6010,CC400,43000.0,Expense
FY2024-10,6010,CC500,33000.0,Expense
FY2024-10,6010,CC600,52000.0,Expense
FY2024-10,6010,CC700,48000.0,Expense
FY2024-10,6010,CC800,72000.0,Expense
FY2024-10,6010,CC900,140000.0,Expense
FY2024-10,6060,CC300,59800.0,Expense
FY2024-10,6080,CC100,26000.0,Expense
FY2024-10,6030,CC600,40000.0,Expense
FY2024-11,4010,CC200,477250.0,Revenue
FY2024-11,4020,CC200,201250.0,Revenue
FY2024-11,4030,CC200,105800.0,Revenue
FY2024-11,6010,CC100,180000.0,Expense
FY2024-11,6010,CC200,115000.0,Expense
FY2024-11,6010,CC300,62000.0,Expense
FY2024-11,6010,CC400,43000.0,Expense
FY2024-11,6010,CC500,33000.0,Expense
FY2024-11,6010,CC600,52000.0,Expense
FY2024-11,6010,CC700,48000.0,Expense
FY2024-11,6010,CC800,72000.0,Expense
FY2024-11,6010,CC900,140000.0,Expense
FY2024-11,6060,CC300,59800.0,Expense
FY2024-11,6080,CC100,26000.0,Expense
FY2024-11,6030,CC600,40000.0,Expense
FY2024-12,4010,CC200,477250.0,Revenue
FY2024-12,4020,CC200,201250.0,Revenue
FY2024-12,4030,CC200,105800.0,Revenue
FY2024-12,6010,CC100,180000.0,Expense
FY2024-12,6010,CC200,115000.0,Expense
FY2024-12,6010,CC300,62000.0,Expense
FY2024-12,6010,CC400,43000.0,Expense
FY2024-12,6010,CC500,33000.0,Expense
FY2024-12,6010,CC600,52000.0,Expense
FY2024-12,6010,CC700,48000.0,Expense
FY2024-12,6010,CC800,72000.0,Expense
FY2024-12,6010,CC900,140000.0,Expense
FY2024-12,6060,CC300,59800.0,Expense
FY2024-12,6080,CC100,26000.0,Expense
FY2024-12,6030,CC600,40000.0,Expense
FY2025-01,4010,CC200,388025.0,Revenue
FY2025-01,4020,CC200,163625.0,Revenue
FY2025-01,4030,CC200,86020.0,Revenue
FY2025-01,6010,CC100,198000.0,Expense
FY2025-01,6010,CC200,126500.0,Expense
FY2025-01,6010,CC300,68200.0,Expense
FY2025-01,6010,CC400,47300.0,Expense
FY2025-01,6010,CC500,36300.0,Expense
FY2025-01,6010,CC600,57200.0,Expense
FY2025-01,6010,CC700,52800.0,Expense
FY2025-01,6010,CC800,79200.0,Expense
FY2025-01,6010,CC900,154000.0,Expense
FY2025-01,6060,CC300,48620.0,Expense
FY2025-01,6080,CC100,28600.0,Expense
FY2025-01,6030,CC600,44000.0,Expense
FY2025-02,4010,CC200,388025.0,Revenue
FY2025-02,4020,CC200,163625.0,Revenue
FY2025-02,4030,CC200,86020.0,Revenue
FY2025-02,6010,CC100,198000.0,Expense
FY2025-02,6010,CC200,126500.0,Expense
FY2025-02,6010,CC300,68200.0,Expense
FY2025-02,6010,CC400,47300.0,Expense
FY2025-02,6010,CC500,36300.0,Expense
FY2025-02,6010,CC600,57200.0,Expense
FY2025-02,6010,CC700,52800.0,Expense
FY2025-02,6010,CC800,79200.0,Expense
FY2025-02,6010,CC900,154000.0,Expense
FY2025-02,6060,CC300,48620.0,Expense
FY2025-02,6080,CC100,28600.0,Expense
FY2025-02,6030,CC600,44000.0,Expense
FY2025-03,4010,CC200,388025.0,Revenue
FY2025-03,4020,CC200,163625.0,Revenue
FY2025-03,4030,CC200,86020.0,Revenue
FY2025-03,6010,CC100,198000.0,Expense
FY2025-03,6010,CC200,126500.0,Expense
FY2025-03,6010,CC300,68200.0,Expense
FY2025-03,6010,CC400,47300.0,Expense
FY2025-03,6010,CC500,36300.0,Expense
FY2025-03,6010,CC600,57200.0,Expense
FY2025-03,6010,CC700,52800.0,Expense
FY2025-03,6010,CC800,79200.0,Expense
FY2025-03,6010,CC900,154000.0,Expense
FY2025-03,6060,CC300,48620.0,Expense
FY2025-03,6080,CC100,28600.0,Expense
FY2025-03,6030,CC600,44000.0,Expense
FY2025-04,4010,CC200,433675.0,Revenue
FY2025-04,4020,CC200,182875.0,Revenue
FY2025-04,4030,CC200,96140.0,Revenue
FY2025-04,6010,CC100,198000.0,Expense
FY2025-04,6010,CC200,126500.0,Expense
FY2025-04,6010,CC300,68200.0,Expense
FY2025-04,6010,CC400,47300.0,Expense
FY2025-04,6010,CC500,36300.0,Expense
FY2025-04,6010,CC600,57200.0,Expense
FY2025-04,6010,CC700,52800.0,Expense
FY2025-04,6010,CC800,79200.0,Expense
FY2025-04,6010,CC900,154000.0,Expense
FY2025-04,6060,CC300,54340.0,Expense
FY2025-04,6080,CC100,28600.0,Expense
FY2025-04,6030,CC600,44000.0,Expense
FY2025-05,4010,CC200,433675.0,Revenue
FY2025-05,4020,CC200,182875.0,Revenue
FY2025-05,4030,CC200,96140.0,Revenue
FY2025-05,6010,CC100,198000.0,Expense
FY2025-05,6010,CC200,126500.0,Expense
FY2025-05,6010,CC300,68200.0,Expense
FY2025-05,6010,CC400,47300.0,Expense
FY2025-05,6010,CC500,36300.0,Expense
FY2025-05,6010,CC600,57200.0,Expense
FY2025-05,6010,CC700,52800.0,Expense
FY2025-05,6010,CC800,79200.0,Expense
FY2025-05,6010,CC900,154000.0,Expense
FY2025-05,6060,CC300,54340.0,Expense
FY2025-05,6080,CC100,28600.0,Expense
FY2025-05,6030,CC600,44000.0,Expense
FY2025-06,4010,CC200,433675.0,Revenue
FY2025-06,4020,CC200,182875.0,Revenue
FY2025-06,4030,CC200,96140.0,Revenue
FY2025-06,6010,CC100,198000.0,Expense
FY2025-06,6010,CC200,126500.0,Expense
FY2025-06,6010,CC300,68200.0,Expense
FY2025-06,6010,CC400,47300.0,Expense
FY2025-06,6010,CC500,36300.0,Expense
FY2025-06,6010,CC600,57200.0,Expense
FY2025-06,6010,CC700,52800.0,Expense
FY2025-06,6010,CC800,79200.0,Expense
FY2025-06,6010,CC900,154000.0,Expense
FY2025-06,6060,CC300,54340.0,Expense
FY2025-06,6080,CC100,28600.0,Expense
FY2025-06,6030,CC600,44000.0,Expense
FY2025-07,4010,CC200,479325.0,Revenue
FY2025-07,4020,CC200,202125.0,Revenue
FY2025-07,4030,CC200,106260.0,Revenue
FY2025-07,6010,CC100,198000.0,Expense
FY2025-07,6010,CC200,126500.0,Expense
FY2025-07,6010,CC300,68200.0,Expense
FY2025-07,6010,CC400,47300.0,Expense
FY2025-07,6010,CC500,36300.0,Expense
FY2025-07,6010,CC600,57200.0,Expense
FY2025-07,6010,CC700,52800.0,Expense
FY2025-07,6010,CC800,79200.0,Expense
FY2025-07,6010,CC900,154000.0,Expense
FY2025-07,6060,CC300,60060.0,Expense
FY2025-07,6080,CC100,28600.0,Expense
FY2025-07,6030,CC600,44000.0,Expense
FY2025-08,4010,CC200,479325.0,Revenue
FY2025-08,4020,CC200,202125.0,Revenue
FY2025-08,4030,CC200,106260.0,Revenue
FY2025-08,6010,CC100,198000.0,Expense
FY2025-08,6010,CC200,126500.0,Expense
FY2025-08,6010,CC300,68200.0,Expense
FY2025-08,6010,CC400,47300.0,Expense
FY2025-08,6010,CC500,36300.0,Expense
FY2025-08,6010,CC600,57200.0,Expense
FY2025-08,6010,CC700,52800.0,Expense
FY2025-08,6010,CC800,79200.0,Expense
FY2025-08,6010,CC900,154000.0,Expense
FY2025-08,6060,CC300,60060.0,Expense
FY2025-08,6080,CC100,28600.0,Expense
FY2025-08,6030,CC600,44000.0,Expense
FY2025-09,4010,CC200,479325.0,Revenue
FY2025-09,4020,CC200,202125.0,Revenue
FY2025-09,4030,CC200,106260.0,Revenue
FY2025-09,6010,CC100,198000.0,Expense
FY2025-09,6010,CC200,126500.0,Expense
FY2025-09,6010,CC300,68200.0,Expense
FY2025-09,6010,CC400,47300.0,Expense
FY2025-09,6010,CC500,36300.0,Expense
FY2025-09,6010,CC600,57200.0,Expense
FY2025-09,6010,CC700,52800.0,Expense
FY2025-09,6010,CC800,79200.0,Expense
FY2025-09,6010,CC900,154000.0,Expense
FY2025-09,6060,CC300,60060.0,Expense
FY2025-09,6080,CC100,28600.0,Expense
FY2025-09,6030,CC600,44000.0,Expense
FY2025-10,4010,CC200,524975.0,Revenue
FY2025-10,4020,CC200,221375.0,Revenue
FY2025-10,4030,CC200,116380.0,Revenue
FY2025-10,6010,CC100,198000.0,Expense
FY2025-10,6010,CC200,126500.0,Expense
FY2025-10,6010,CC300,68200.0,Expense
FY2025-10,6010,CC400,47300.0,Expense
FY2025-10,6010,CC500,36300.0,Expense
FY2025-10,6010,CC600,57200.0,Expense
FY2025-10,6010,CC700,52800.0,Expense
FY2025-10,6010,CC800,79200.0,Expense
FY2025-10,6010,CC900,154000.0,Expense
FY2025-10,6060,CC300,65780.0,Expense
FY2025-10,6080,CC100,28600.0,Expense
FY2025-10,6030,CC600,44000.0,Expense
FY2025-11,4010,CC200,524975.0,Revenue
FY2025-11,4020,CC200,221375.0,Revenue
FY2025-11,4030,CC200,116380.0,Revenue
FY2025-11,6010,CC100,198000.0,Expense
FY2025-11,6010,CC200,126500.0,Expense
FY2025-11,6010,CC300,68200.0,Expense
FY2025-11,6010,CC400,47300.0,Expense
FY2025-11,6010,CC500,36300.0,Expense
FY2025-11,6010,CC600,57200.0,Expense
FY2025-11,6010,CC700,52800.0,Expense
FY2025-11,6010,CC800,79200.0,Expense
FY2025-11,6010,CC900,154000.0,Expense
FY2025-11,6060,CC300,65780.0,Expense
FY2025-11,6080,CC100,28600.0,Expense
FY2025-11,6030,CC600,44000.0,Expense
FY2025-12,4010,CC200,524975.0,Revenue
FY2025-12,4020,CC200,221375.0,Revenue
FY2025-12,4030,CC200,116380.0,Revenue
FY2025-12,6010,CC100,198000.0,Expense
FY2025-12,6010,CC200,126500.0,Expense
FY2025-12,6010,CC300,68200.0,Expense
FY2025-12,6010,CC400,47300.0,Expense
FY2025-12,6010,CC500,36300.0,Expense
FY2025-12,6010,CC600,57200.0,Expense
FY2025-12,6010,CC700,52800.0,Expense
FY2025-12,6010,CC800,79200.0,Expense
FY2025-12,6010,CC900,154000.0,Expense
FY2025-12,6060,CC300,65780.0,Expense
FY2025-12,6080,CC100,28600.0,Expense
FY2025-12,6030,CC600,44000.0,Expense
